date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:39:18	11064/11064	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202019%2020:38:48%20GMT	https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=	bot-check-3/tvnewtop.pro/bot-check-31187.html	(from )
00:39:19	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%225c79518e-16%22	https://tvnewtop.pro/robots.txt		(from )
00:39:19	689/689	---M--	200	added ('OK')	image/png	etag:%225c795165-2b1%22	https://tvnewtop.pro/icon.png	bot-check-3/tvnewtop.pro/icon.png	(from https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:39:20	11043/11043	---M--	200	added ('OK')	image/png	etag:%225c795165-2b23%22	https://tvnewtop.pro/images/bot-verification/bot.png	bot-check-3/tvnewtop.pro/images/bot-verification/bot.png	(from https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:39:21	10591/10591	---M--	200	added ('OK')	image/png	etag:%225c795165-295f%22	https://tvnewtop.pro/images/bot-verification/man.png	bot-check-3/tvnewtop.pro/images/bot-verification/man.png	(from https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:39:22	1061/1061	---M--	200	added ('OK')	image/png	etag:%225c795165-425%22	https://tvnewtop.pro/images/bot-verification/logo.png	bot-check-3/tvnewtop.pro/images/bot-verification/logo.png	(from https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:39:31	0/-1	---M--	204	error ('No%20Content')	text/html	date:Mon,%2004%20Mar%202019%2020:38:56%20GMT	https://tvnewtop.pro/OPR/	bot-check-3/tvnewtop.pro/OPR/index.html	(from https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:39:37	0/-1	---M--	204	error ('No%20Content')	text/html	date:Mon,%2004%20Mar%202019%2020:38:54%20GMT	https://tvnewtop.pro/GET	bot-check-3/tvnewtop.pro/GET.html	(from https://tvnewtop.pro/bot-check-3?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUwNiwid2lkIjo3Njg3LCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
