date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:26	12498/12498	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202019%2020:33:57%20GMT	https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=	sweep/tvnewtop.pro/sweep0bbe.html	(from )
00:34:27	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%225c79518e-16%22	https://tvnewtop.pro/robots.txt		(from )
00:34:27	689/689	---M--	200	added ('OK')	image/png	etag:%225c795165-2b1%22	https://tvnewtop.pro/icon.png	sweep/tvnewtop.pro/icon.png	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:34:28	7551/7551	---M--	200	added ('OK')	image/jpeg	etag:%225c795165-1d7f%22	https://tvnewtop.pro/images/sweep/bg.jpg	sweep/tvnewtop.pro/images/sweep/bg.jpg	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:34:29	2248/2248	---M--	200	added ('OK')	image/png	etag:%225c795165-8c8%22	https://tvnewtop.pro/images/sweep/smile.png	sweep/tvnewtop.pro/images/sweep/smile.png	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:34:30	38307/38307	---M--	200	added ('OK')	image/png	etag:%225c795165-95a3%22	https://tvnewtop.pro/images/sweep/spin.png	sweep/tvnewtop.pro/images/sweep/spin.png	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:34:37	0/-1	---M--	204	error ('No%20Content')	text/html	date:Mon,%2004%20Mar%202019%2020:34:02%20GMT	https://tvnewtop.pro/GET	sweep/tvnewtop.pro/GET.html	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:34:40	0/-1	---M--	204	error ('No%20Content')	text/html	date:Mon,%2004%20Mar%202019%2020:34:03%20GMT	https://tvnewtop.pro/test	sweep/tvnewtop.pro/test.html	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
00:34:44	0/-1	---M--	204	error ('No%20Content')	text/html	date:Mon,%2004%20Mar%202019%2020:34:04%20GMT	https://tvnewtop.pro/OPR/	sweep/tvnewtop.pro/OPR/index.html	(from https://tvnewtop.pro/sweep?h=waWQiOjEwMDA4NjQsInNpZCI6MTAwNTUyMSwid2lkIjo3NzAxLCJzcmMiOjJ9eyJ&bbr=1&si1=&si2=)
